lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14,theta.1,theta.2
# Adaptation terminated
# Step size = 0.0396874
# Diagonal elements of inverse mass matrix:
# 0.268873, 0.141979, 0.0239345, 0.0152947, 0.0356757, 0.0771784, 0.167355, 7.77174, 12.2156, 137.987, 4883.22, 42529.5, 50539.4, 30078.3, 518.341, 6.54159, 1.75563, 1.34599, 0.495271, 0.370945, 0.160419, 0.0596221, 0.0935448, 0.0697433, 0.0714971, 0.232317, 0.0445972
-1374.05,0.956198,0.0396874,5,32,1,1393.57,0.0112365,0.0177556,0.120023,0.254612,0.230718,0.170108,0.0935539,0.0927476,0.00884803,3.02381e-05,3.24482e-13,5.2884e-96,1.93573e-103,0.000367154,9.29994e-190,2.54273e-12,6.41726e-05,0.00329233,0.00590787,0.0297875,0.114753,0.0789833,0.198652,0.137898,0.0941675,0.134421,0.160762,0.0413115,0.730706,0.269294
-1374.29,0.966152,0.0396874,5,33,1,1390.84,0.00970292,0.0178098,0.113253,0.238663,0.244209,0.161259,0.0800946,0.0964752,0.036401,0.0020212,0.00011031,4.26163e-36,1.90347e-103,3.15389e-11,3.42873e-251,5.13433e-05,0.00012626,0.0175379,0.00501745,0.0215319,0.0786289,0.0831995,0.161593,0.170219,0.116948,0.141587,0.173763,0.0297971,0.726968,0.273032
-1374.11,0.944483,0.0396874,4,28,1,1390.53,0.00792815,0.0191894,0.132709,0.215078,0.243814,0.132813,0.0812342,0.146301,0.0205302,0.00040321,8.366e-08,1.92157e-19,2.03135e-223,1.78073e-28,2.85366e-248,2.97561e-05,0.000555094,0.016173,0.0134147,0.0181672,0.101912,0.0726812,0.158484,0.160639,0.118055,0.126917,0.176066,0.036906,0.751182,0.248818
-1373.09,0.897083,0.0396874,3,10,1,1385.47,0.008934,0.0201699,0.12914,0.217893,0.242819,0.13419,0.0793871,0.141704,0.0252837,0.000478755,1.93192e-07,3.62885e-20,1.22365e-236,1.52488e-24,1.81025e-249,1.42224e-06,0.000953425,0.0159479,0.0131451,0.0184862,0.103697,0.0702249,0.166589,0.159487,0.115418,0.12727,0.173145,0.0356351,0.754588,0.245412
-1373.21,0.66635,0.0396874,1,3,1,1384.52,0.00886212,0.0203842,0.128588,0.216698,0.243735,0.133516,0.0797366,0.142878,0.0250754,0.000527582,3.33896e-07,2.06782e-19,1.58836e-237,4.02625e-28,9.55298e-251,8.19328e-06,0.000842224,0.015751,0.0125908,0.0183885,0.10659,0.0689602,0.165531,0.157795,0.114726,0.128944,0.174392,0.0354798,0.754917,0.245083
-1372.91,0.610023,0.0396874,2,4,1,1385.02,0.00876633,0.0201841,0.129673,0.217561,0.241951,0.134458,0.0797061,0.140273,0.0269467,0.00048023,6.01736e-07,5.29395e-21,4.81968e-235,1.60682e-27,3.52983e-252,1.38336e-06,0.000963124,0.0152067,0.0132636,0.0180744,0.106378,0.0684824,0.166081,0.158335,0.115296,0.129112,0.173712,0.0350931,0.753957,0.246043
-1374.34,0.786759,0.0396874,2,5,1,1386.51,0.00849279,0.0198206,0.128394,0.216502,0.236981,0.14021,0.0818715,0.153423,0.0141018,0.0002023,2.58521e-07,6.30192e-27,3.3839e-229,4.59946e-17,2.04269e-267,1.25516e-06,0.00100779,0.0146664,0.013151,0.0174974,0.106804,0.0697654,0.170119,0.160029,0.111213,0.131192,0.167335,0.0372183,0.756884,0.243116
-1376.16,0.794196,0.0396874,2,6,1,1383.71,0.00882921,0.0203959,0.128884,0.213862,0.235548,0.140567,0.0841539,0.158246,0.00934882,0.00016384,3.56325e-07,9.43421e-27,7.26178e-231,2.33993e-20,2.55123e-275,9.10283e-06,0.000943044,0.0155843,0.00915243,0.0175021,0.10918,0.0700412,0.166353,0.158078,0.111759,0.135342,0.168441,0.0376144,0.757286,0.242714
-1376.63,0.666667,0.0396874,1,3,1,1386.72,0.00884653,0.0204226,0.128689,0.214338,0.236943,0.140734,0.0836392,0.15788,0.00836462,0.000143332,5.1484e-07,1.36712e-25,3.3742e-231,3.81151e-21,2.05999e-272,5.22026e-06,0.000960315,0.0170431,0.00911359,0.0171989,0.112684,0.0689723,0.164459,0.157227,0.112289,0.135779,0.168144,0.0361243,0.756657,0.243343
-1376.25,0.659269,0.0396874,1,3,1,1389.28,0.00871163,0.0206358,0.129495,0.214144,0.236479,0.139715,0.0852872,0.155926,0.00945576,0.000151287,6.06624e-07,8.05847e-20,5.317e-228,5.17739e-21,3.97441e-268,1.5763e-05,0.000751394,0.0170559,0.00900594,0.0171727,0.114047,0.0676388,0.165284,0.157005,0.11177,0.135145,0.1694,0.035708,0.755823,0.244177
-1373.24,0.94775,0.0396874,4,21,1,1390.45,0.00670545,0.0213174,0.113997,0.225487,0.260194,0.134572,0.0895593,0.115094,0.0320114,0.00106149,5.22156e-08,4.76659e-18,9.54859e-223,1.1034e-14,1.57619e-258,3.05825e-07,0.00321327,0.00844425,0.00585636,0.0243343,0.143424,0.0573598,0.157086,0.139818,0.101748,0.141413,0.184602,0.0327005,0.757629,0.242371
-1374.67,0.949342,0.0396874,4,21,1,1384.25,0.00638362,0.02186,0.114019,0.228621,0.266265,0.137073,0.087268,0.0966934,0.041092,0.000725483,9.55805e-09,8.50436e-33,3.61425e-251,9.30573e-12,9.54564e-268,4.60238e-10,0.00342939,0.0118861,0.00585097,0.0207519,0.144562,0.063562,0.170486,0.128034,0.10265,0.136921,0.183983,0.0278855,0.767017,0.232983
-1374.64,0.980827,0.0396874,5,53,1,1385.49,0.00519871,0.018009,0.140878,0.232476,0.264288,0.143223,0.0841522,0.0884324,0.0160544,0.00728845,4.5277e-21,3.24453e-48,1.49346e-274,1.72907e-08,9.02284e-250,5.0507e-16,0.0115643,0.0149981,0.0051591,0.0121322,0.11553,0.119692,0.160834,0.115435,0.085641,0.139245,0.175856,0.0439129,0.744739,0.255261
-1374.43,0.943714,0.0396874,4,20,1,1393.1,0.00681986,0.0198182,0.142792,0.226831,0.256705,0.163155,0.0728765,0.0812342,0.0130529,0.0167134,4.48366e-28,9.20657e-42,6.04325e-227,8.14216e-07,2.84723e-234,1.11259e-15,0.00550937,0.00744536,0.0111196,0.0178206,0.119777,0.1044,0.190095,0.121505,0.0806958,0.13176,0.166852,0.0430202,0.749276,0.250724
-1372.13,0.947233,0.0396874,4,20,1,1384.92,0.00581169,0.021258,0.141707,0.232116,0.242599,0.176943,0.0693454,0.0905617,0.0134576,0.00617868,8.41186e-09,9.98588e-85,1.2051e-256,2.24998e-05,5.06045e-245,8.14984e-20,0.0152773,0.00750538,0.010777,0.0223951,0.129986,0.0973051,0.19442,0.119429,0.0755986,0.131118,0.157318,0.03887,0.722966,0.277034
-1373.07,0.958874,0.0396874,4,26,1,1386.92,0.00555739,0.018485,0.136709,0.235711,0.244241,0.174389,0.0643237,0.0867388,0.0267806,0.0070421,1.9783e-11,1.36485e-61,7.32683e-241,2.30599e-05,4.30446e-224,3.62439e-19,0.0249181,0.0102207,0.0123159,0.0267422,0.148694,0.0902917,0.182912,0.120802,0.0696604,0.131265,0.146652,0.0355266,0.722017,0.277983
-1372.78,0.932715,0.0396874,3,15,1,1385.41,0.00615169,0.0172109,0.134156,0.232463,0.252193,0.177644,0.063452,0.0876305,0.0265519,0.00171712,1.95015e-17,5.39455e-35,3.90138e-253,0.000829865,1.99466e-207,2.33458e-20,0.0337875,0.0096025,0.0109831,0.0323543,0.137767,0.0912125,0.183019,0.113969,0.073062,0.126836,0.151827,0.0355796,0.722179,0.277821
-1375.79,0.951833,0.0396874,5,37,1,1390.46,0.00713635,0.0174626,0.138737,0.236447,0.25654,0.165194,0.0639192,0.0828309,0.0306616,4.56424e-06,1.97996e-27,2.7158e-26,3.94891e-255,0.00106692,2.706e-206,1.22062e-24,0.0211848,0.00714361,0.0133011,0.0297905,0.171023,0.0809706,0.19347,0.106139,0.0705098,0.124649,0.142993,0.0388254,0.737162,0.262838
